Gender,Height (m),Max_BPM;Weight (kg),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Experience_Level;Workout_Frequency (days/week),BMI
Male,1.71,180;67.85,1313.0,Yoga,12.6,3.5,3;4,30.2
Female,1.53,179;74.9,883.0,HIID,33.9,2.1,2;4,32.0
Female,1.66,167;68.1,677.0,Cardio,33.4,2.3,2;4,24.71
Male,1.7,190;53.2,532.0,Str3ngtn,28.8,2.1,1;3,18.41
Male,1.79,188;116.17,556.0,Strength,37.52,2.8,1;3,14.39
Female,1.68,168;58.0,1116.0,HIIT,15.5,2.7,3;5,20.55
Male,1.72,174;70.3,1385.0,Cardio,21.3,2.3,2;3,23.76
Female,1.51,189;69.7,895.0,Cardio,30.6,1.9,2;3,30.57
Mala,1.94,185;34.75,719.0,Strength,28.9,2.6,2;4,32.34
Male,1.84,169;100.67,808.0,Cagd7o,21.02,2.7,1;3,30.07
Male,1.67,188;120.8,593.0,HIKT,20.5,3.0,1;2,43.31
Male,1.7,175;86.03,865.0,HIIT,23.6,3.5,2;3,17.89
Male,1.61,195;-9.49,1013.0,Kardio,22.1,2.7,2;3,43.4
Male,2.0,179;94.5,794.0,k_HIIT,27.6,3.7,1;3,23.62
Male,1.81,196;117.7,1195.0,Yoga,26.4,3.3,2;3,35.93
Female,1.75,181;42.5,740.0,Strength,26.2,2.1,1;2,13.88
Female,1.53,166;64.0,1111.0,HIIT,23.87,2.3,2;3,27.34
Female,1.77,182;43.8,884.0,Cardio,23.87,1.6,1;3,13.98
Female,1.75,199;66.8,742.0,Strength,34.02,2.5,2;3,21.81
Fejale,1.67,188;75.2,1030.0,HIIT,25.2,2.2,1;2,26.96
Male,1.77,175;73.76,1048.0,Strength,28.9,3.7,2;4,28.41
Male,1.77,197;85.71,875.0,Cardio,25.7,3.1,1;2,22.95
Female,1.68,187;118.38,848.0,Yoga,33.1,2.5,1;2,25.16
CxH_Male,1.78,197;120.9,721.0,Yoga,31.93,3.4,1;2,38.16
Female,1.69,190;75.03,925.0,HIIT,26.9,1.9,2;4,22.51
Fejwle,1.71,173;80.12,1080.0,Yoga,26.1,1.8,2;3,21.78
Male,1.8,192;65.2,502.0,HIIT,29.8,2.7,1;2,20.12
Male,1.75,168;53.9,989.0,Strength,21.6,2.8,2;4,17.6
